sku,navn,type,leverandor,merke,serie,kategori,nåpris,førpris,farge,tekstil,bredde_cm,høyde_cm,sittehøyde_cm,sittedybde_cm,url
322460,Signature Collection By Halvor Bakke,"3,5 seter med sjeselong XL",Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,"3,5 seter",35368,,Beige/natur,Sebastian Liver,272,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-5-seter-sofa-med-sjeselong-xl-9
325126,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Beige/natur,Storm 02 Ecru,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-1
325127,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Grønn,Storm 37 Lindegrønn,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-2
325128,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Oransje,Storm 54 Terrakotta,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-3
325130,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Grå,Storm 85 Lys grå,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-5
325131,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Beige/natur,Storm 02 Ecru,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-6
325132,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Grønn,Storm 37 Lindegrønn,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-7
325133,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Oransje,Storm 54 Terrakotta,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-8
325134,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Blå,Storm 71 Linblå,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-9
325135,Otello Lux,"3,5 seter med sjeselong",Dominari Grupe UAB,,OTELLO LUX,"3,5 seter",37395,,Grå,Storm 85 Lys grå,286,83,43,72,https://checkout.bohus.no/sofa/3-seter/otello-lux-3-5-seter-sofa-med-sjeselong-10
325542,Vilmers Altera,3 seter XL,Vilmers,Vilmers,ALTERA,3 seter,28505,,Beige/natur,Naula Silver birch,222,81,45,61,https://checkout.bohus.no/sofa/3-seter/altera-3-seter-sofa-xl-11
325546,Vilmers Altera,"3,5 seter med sjeselong XL",Vilmers,Vilmers,ALTERA,"3,5 seter",43309,,Beige/natur,Naula Silver birch,272,81,45,61,https://checkout.bohus.no/sofa/3-seter/altera-3-5-seter-sofa-med-sjeselong-xl-17
325548,Vilmers Altera,"3,5 seter med sjeselong XL",Vilmers,Vilmers,ALTERA,"3,5 seter",43309,,Beige/natur,Naula Silver birch,272,81,45,61,https://checkout.bohus.no/sofa/3-seter/altera-3-5-seter-sofa-med-sjeselong-xl-18
325591,Vilmers Nordic Prime,3 seter,Vilmers,Vilmers,NORDIC PRIME,3 seter,30110,,Brun,Diamonds Copper brown,201,82,45,55,https://checkout.bohus.no/sofa/3-seter/nordic-prime-3-seter-sofa-1
325592,Vilmers Nordic Prime,3 seter,Vilmers,Vilmers,NORDIC PRIME,3 seter,30110,,Brun,Diamonds Copper brown,201,82,45,55,https://checkout.bohus.no/sofa/3-seter/nordic-prime-3-seter-sofa
325596,Vilmers Nordic Prime,3 seter,Vilmers,Vilmers,NORDIC PRIME,3 seter,30110,,Brun,Diamonds Copper brown,198,82,45,55,https://checkout.bohus.no/sofa/3-seter/nordic-prime-3-seter-sofa-3
325601,Vilmers Nordic Prime,3 seter XL,Vilmers,Vilmers,NORDIC PRIME,3 seter,31498,,Brun,Diamonds Copper brown,216,82,45,55,https://checkout.bohus.no/sofa/3-seter/nordic-prime-3-seter-sofa-xl-1
325602,Vilmers Nordic Prime,3 seter XL,Vilmers,Vilmers,NORDIC PRIME,3 seter,31498,,Brun,Diamonds Copper brown,216,82,45,55,https://checkout.bohus.no/sofa/3-seter/nordic-prime-3-seter-sofa-xl
325606,Vilmers Nordic Prime,3 seter XL,Vilmers,Vilmers,NORDIC PRIME,3 seter,31498,,Brun,Diamonds Copper brown,213,82,45,55,https://checkout.bohus.no/sofa/3-seter/nordic-prime-3-seter-sofa-xl-3
325780,Scapa Noelle,"3,5 seter med sjeselong XL",Scapa UAB,Scapa,NOELLE,"3,5 seter",46815,,Grå,Hevre 0980 Light beige,248,84,45,56,https://checkout.bohus.no/sofa/3-seter/noelle-3-5-seter-sofa-med-sjeselong-xl-5
328227,Weston,3 seter XL,Dominari Grupe UAB,,WESTON,3 seter,13999,23332,Brun,Ecohud lys brun,225,80,46,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-xl
326522,IMG Melby,3 seter,"IMG avd Skandinavia, Ekornes AS",IMG,MELBY,3 seter,25990,,Beige/natur,Molly 100 Mole,208,84,44,53,https://checkout.bohus.no/sofa/3-seter/melby-3-seter-sofa-13
280158,Formfin Frida,3 seter,Formfin,Formfin,FRIDA,3 seter,32670,,Svart,Melia svart,205,83,45,53,https://checkout.bohus.no/sofa/3-seter/frida-3-seter
328554,Formfin Free,3 seter,Formfin,Formfin,FREE,3 seter,19746,32910,Hvit,Oasis ecry,206,94,48,52,https://checkout.bohus.no/sofa/3-seter/free-3-seter-sofa-11
328555,Formfin Free,3 seter,Formfin,Formfin,FREE,3 seter,19746,32910,Hvit,Oasis ecry,206,94,48,52,https://checkout.bohus.no/sofa/3-seter/free-3-seter-sofa-12
328556,Formfin Free,3 seter,Formfin,Formfin,FREE,3 seter,32910,,Grønn,Risør 500 Grønn,206,94,48,52,https://checkout.bohus.no/sofa/3-seter/free-3-seter-sofa-13
328557,Formfin Free,3 seter,Formfin,Formfin,FREE,3 seter,32910,,Grønn,Risør 500 Grønn,206,94,48,52,https://checkout.bohus.no/sofa/3-seter/free-3-seter-sofa-14
