varenummer,navn,variant,leverandor,kategori,nåpris,førpris,rabatt_prosent,ean,lev_varenummer,url,kampanje,antall_varianter
117790,"Monaco Lux 3,5-seter sofa","Monaco Lux 3,5-seter sofa",,Alle produkter/Alle sofaer/Sofa/,18999.0,37799.0,50.0,7050733569056,1776712,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-35-seter-sofa/?VariationId=V_5637555039,True,8
117791,"Monaco Lux 2,5-seter med XL sjeselong","Monaco Lux 2,5-seter med XL sjeselong",,Alle produkter/Alle sofaer/Sofa/,19999.0,39699.0,50.0,7050733569131,1776720,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-25-seter-med-xl-sjeselong/?VariationId=V_5637555048,True,24
118009,Monaco U-sofa,Monaco U-sofa,,Alle produkter/Alle sofaer/Sofa/,29999.0,60499.0,50.0,7050733568653,1776680,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-u-sofa/?VariationId=V_5637557182,True,24
118011,Monaco Lux U-sofa,Monaco Lux U-sofa,,Alle produkter/Alle sofaer/Sofa/,34999.0,69699.0,50.0,7050733569698,1776776,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-u-sofa/?VariationId=V_5637557208,True,24
115961,Slogen hjørnesofa,Slogen hjørnesofa,Brunstad,Alle produkter/Alle sofaer/Sofa/,19999.0,40170.0,50.0,7050733437744,2227500,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/slogen-hjornesofa/?VariationId=V_5637501138,True,36
116194,Modern Living U-sofa,Modern Living U-sofa,,Alle produkter/Alle sofaer/Sofa/,27999.0,56499.0,50.0,7050733430912,8590602,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/modern-living-u-sofa/?VariationId=V_5637515912,True,16
115970,Oslo Plus 3-seter,Oslo Plus 3-seter,,Alle produkter/Alle sofaer/Sofa/,6849.0,13699.0,50.0,7050733404425,1391505,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/oslo-plus-3-seter/?VariationId=V_5637501170,True,8
115971,Oslo Plus 32/23 hjørnesofa,Oslo Plus 32/23 hjørnesofa,,Alle produkter/Alle sofaer/Sofa/,13999.0,27999.0,50.0,7050733404555,1391518,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/oslo-plus-3223-hjornesofa/?VariationId=V_5637501179,True,1
115972,Oslo Plus hjørnesofa Oppsett 11,Oslo Plus hjørnesofa Oppsett 11,,Alle produkter/Alle sofaer/Sofa/,12499.0,24999.0,50.0,7050733404654,1391528,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/oslo-plus-hjornesofa-oppsett-11/?VariationId=V_5637501181,True,4
116790,"Mandal 3,5-seter","Mandal 3,5-seter",Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,14114.5,28229.0,50.0,7050733529814,2616781,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/mandal-35-seter/?VariationId=V_5637603576,True,2
120025,Sagrado 3-seter XL sofa,Sagrado 3-seter XL sofa,,Alle produkter/Alle sofaer/Sofa/,19999.0,39499.0,49.0,7050733718607,1778520,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/sagrado-3-seter-xl-sofa/?VariationId=V_5637586435,False,10
